,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
45,3016,2139,74.8,15.6,9.7,37.2,72.1,21.0,82.2,17.8,17.5,39.6,15.8,14.8,12.3,71.5,7.3,13.3,64.3,2.1,2.1
46,3017,2184,75.4,13.2,11.4,36.0,65.3,26.8,83.9,16.1,8.8,34.6,19.2,20.8,16.6,69.6,10.1,14.8,64.3,2.1,2.1
47,3018,2426,71.4,15.9,12.7,44.6,63.6,28.3,80.4,19.6,9.4,35.7,20.8,18.7,15.4,64.7,13.1,13.2,64.3,2.1,2.1
48,3019,2262,73.1,16.6,10.3,40.8,61.1,30.3,80.7,19.3,7.7,34.1,21.2,19.4,17.7,64.2,9.8,15.1,64.3,2.1,2.1
49,3020,2363,70.0,17.1,12.9,41.0,71.0,21.2,79.6,20.4,11.7,41.8,18.1,16.3,12.2,72.2,6.7,12.7,64.3,2.1,2.1
50,3021,2305,76.1,13.6,10.3,36.5,59.6,28.4,84.1,15.9,6.1,29.1,19.1,20.2,25.5,68.8,9.6,18.9,64.3,2.1,2.1
51,3022,2778,59.2,23.9,17.0,51.7,66.9,24.3,70.4,29.6,11.4,36.7,19.1,20.5,12.3,70.8,8.5,11.4,64.3,2.1,2.1
52,3023,3013,66.9,16.3,16.7,56.6,59.1,33.5,77.0,23.0,7.8,27.7,23.7,26.5,14.3,50.1,20.0,14.8,64.3,2.1,2.1
53,4001,2367,70.0,16.6,13.4,45.2,55.6,31.9,80.0,20.0,9.1,31.2,17.4,16.7,25.6,63.1,10.5,18.2,62.6,2.3,2.6
54,4002,2510,67.9,16.3,15.8,45.3,56.7,31.6,79.4,20.6,7.1,29.1,17.6,18.9,27.2,68.4,8.9,17.6,62.6,2.3,2.6
55,4003,2467,70.9,15.5,13.6,44.3,51.5,35.0,82.1,17.9,7.4,24.6,17.6,20.1,30.3,60.9,12.4,19.3,62.6,2.3,2.6
56,4004,2605,67.3,17.9,14.9,49.1,56.1,31.8,78.5,21.5,6.1,27.5,21.7,18.3,26.4,63.4,13.5,18.0,62.6,2.3,2.6
57,4005,2438,75.6,11.6,12.8,42.3,51.4,30.5,85.9,14.1,6.9,20.3,17.4,19.9,35.5,53.3,19.5,19.4,62.6,2.3,2.6
58,4006,2433,66.8,17.2,16.0,45.9,53.8,30.7,79.1,20.9,8.1,27.4,16.2,17.5,30.8,66.8,9.8,18.7,62.6,2.3,2.6
59,4007,2278,80.2,11.2,8.6,33.6,52.2,34.2,86.4,13.6,6.9,23.7,18.7,22.0,28.7,56.6,15.9,20.3,62.6,2.3,2.6
60,4008,2239,75.6,12.4,12.1,40.6,55.2,31.0,84.6,15.4,8.7,26.2,16.2,21.9,27.0,61.1,13.4,19.9,62.6,2.3,2.6
61,4009,2202,82.3,11.5,6.2,32.5,51.6,36.6,86.6,13.4,7.7,20.4,19.0,23.5,29.4,55.1,18.4,21.1,62.6,2.3,2.6
62,4010,2069,81.3,10.5,8.1,34.8,55.7,32.5,88.0,12.0,8.0,24.3,16.8,23.8,27.1,60.8,13.2,20.2,62.6,2.3,2.6
63,4011,1897,85.2,8.5,6.3,26.4,56.7,29.9,90.6,9.4,7.3,22.7,17.1,25.2,27.6,66.3,11.1,22.5,62.6,2.3,2.6
64,4012,2152,79.0,12.6,8.4,33.7,62.3,27.4,85.2,14.8,8.0,32.6,18.3,19.6,21.6,66.9,11.4,16.7,62.6,2.3,2.6
65,4013,2183,69.8,17.1,13.1,41.5,61.2,25.5,79.9,20.1,13.6,24.1,14.8,18.3,29.1,63.7,9.4,19.4,62.6,2.3,2.6
66,4014,2027,81.9,10.8,7.3,29.7,52.1,31.2,87.7,12.3,7.9,25.2,13.9,19.9,33.0,63.8,9.7,24.3,62.6,2.3,2.6
